Current,,
,,
證券代碼,年月日,報酬率％
1611 中電,2001/12/28,0.6711
1612 宏泰,2001/12/28,0
1614 三洋電,2001/12/28,0.5525
1615 大山,2001/12/28,1.0101
1616 億泰,2001/12/28,-0.2242
1617 榮星,2001/12/28,0.3663
1618 合機,2001/12/28,0
1701 中化,2001/12/28,-1.9737
1702 南僑,2001/12/28,6.2753
1707 葡萄王,2001/12/28,1.8692
1708 東鹼,2001/12/28,-0.9434
1709 和益,2001/12/28,0
1710 東聯,2001/12/28,1.9802
1711 永光,2001/12/28,0.6667
1712 興農,2001/12/28,0
1713 國化,2001/12/28,0
1714 和桐,2001/12/28,0
1717 長興,2001/12/28,0.5848
1718 中纖,2001/12/28,0.2976
1720 生達,2001/12/28,0
1721 三晃,2001/12/28,-3.4483
1722 台肥,2001/12/28,-3.8889
1723 中碳,2001/12/28,0
1724 台硝,2001/12/28,4.2683
1725 元禎,2001/12/28,1.3333
1726 永記,2001/12/28,3.0508
1727 中華化,2001/12/28,-1.5152
1730 花仙子,2001/12/28,1.6484
1731 美吾華,2001/12/28,-1.6129
1732 毛寶,2001/12/28,-0.5051
1733 五鼎,2001/12/28,0
1734 杏輝,2001/12/28,0
1735 日勝化,2001/12/28,0.495
1802 台玻,2001/12/28,0
1805 寶徠,2001/12/28,-6.4189
1806 冠軍,2001/12/28,-0.3953
1808 潤隆,2001/12/28,-6.7532
1809 中釉,2001/12/28,-0.7463
1810 和成,2001/12/28,-2.7027
1903 士紙,2001/12/28,-1.4286
1904 正隆,2001/12/28,-2.3256
1905 華紙,2001/12/28,2.3438
1906 寶隆,2001/12/28,-1.4778
1907 永豐餘,2001/12/28,0
1909 榮成,2001/12/28,0.2941
2002 中鋼,2001/12/28,-0.3663
2006 東和鋼鐵,2001/12/28,4.3478
2007 燁興,2001/12/28,1.1494
2008 高興昌,2001/12/28,-0.2646
2009 第一銅,2001/12/28,0.339
2010 春源,2001/12/28,0
2012 春雨,2001/12/28,-0.4082
2013 中鋼構,2001/12/28,1.9355
2014 中鴻,2001/12/28,5.9524
2015 豐興,2001/12/28,2.2556
2017 官田鋼,2001/12/28,1.2903
2020 美亞,2001/12/28,2.2727
2022 聚亨,2001/12/28,1.0638
2023 燁輝,2001/12/28,-0.3185
2024 志聯,2001/12/28,-6.0606
2025 千興,2001/12/28,3.4483
2027 大成鋼,2001/12/28,-0.6061
2028 威致,2001/12/28,2.1505
2029 盛餘,2001/12/28,1.9139
2030 彰源,2001/12/28,0
2031 新光鋼,2001/12/28,0
2032 新鋼,2001/12/28,0
2033 佳大,2001/12/28,0
2034 允強,2001/12/28,-0.7463
2101 南港,2001/12/28,-6.4815
2102 泰豐,2001/12/28,0
2103 台橡,2001/12/28,-0.2203
2104 國際中橡,2001/12/28,0
2105 正新,2001/12/28,-0.9174
2106 建大,2001/12/28,-1.5544
2107 厚生,2001/12/28,-3.75
2108 南帝,2001/12/28,0
2109 華豐,2001/12/28,-1.626
2201 裕隆,2001/12/28,-0.6289
2204 中華,2001/12/28,0
2206 三陽工業,2001/12/28,2
2207 和泰車,2001/12/28,0
